question,answer_llm,answer_orig,document
"Where should I begin if I’m just starting the LLM Zoomcamp, and what pages or repo should I check first?","If you’re just starting, begin with these:

1. **LLM Zoomcamp docs**: https://datatalks.club/docs/courses/llm-zoomcamp/  
2. **General Zoomcamp logistics docs**: https://datatalks.club/docs/courses/zoomcamp-logistics/  
3. **LLM Zoomcamp GitHub repository**: https://github.com/DataTalksClub/llm-zoomcamp

The **GitHub repo is the main entry point**. Open the lesson folders there first, since each lesson page has the relevant videos and materials linked at the top.

If you want to follow the course workflow, the usual order is:
- watch the lesson videos,
- work through the notebooks/code,
- read the homework instructions on GitHub,
- submit through the course platform before the deadline.

When in doubt, follow the **GitHub repo first**, because it tends to be more up to date than the YouTube playlist.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Can I join the course at any time, or is there a fixed start date I need to wait for?","You can start whenever you want — there isn’t a fixed start date you need to wait for to begin learning and doing homework.

However, if you want to get a certificate, you need to finish with a live cohort and submit your project while submissions are still open.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
What’s the usual weekly routine for this course from watching lessons to turning in homework?,"A typical weekly workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit your answers through the course platform before the deadline.

You can start whenever you want, and the videos, GitHub materials, and deadlines are all available in the course platform.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Do I need to follow the videos, notebooks, and homework in a specific order, or can I mix them up?","You should generally follow this order:

1. Watch the lesson videos  
2. Work through the lesson notebooks/code  
3. Read the homework instructions on GitHub  
4. Submit answers through the course platform before the deadline  

So it’s best not to mix them up if you want the smoothest workflow, since the homework is based on the lesson flow.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"How is the homework related to the lesson material, and is it using the same exact tasks and data?","Homework is related to the lesson material, but it is **not usually the exact same tasks or data**. The homework typically follows the same flow as the lesson, but uses a **different dataset or slightly different task**.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How do I find my name on the leaderboard if I can’t spot it anywhere?,"Click **“Jump to your record on the leaderboard”** — it will take you directly to your entry.

If you want to know the name shown there, open **“Edit Course Profile”** and check your **display name**.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Why am I shown a random display name on the leaderboard, and can I change it?","You’re shown a random display name because the course automatically assigns one when you create your account, to keep the leaderboard anonymous by default.

Yes, you can change it:
- Open **Edit Course Profile**
- Change the **first field** to the nickname/display name you want shown on the leaderboard
- The **second field** is your official name for the certificate

If you want, you can use your Slack username, GitHub username, or another nickname.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I check what my current course display name is?,Click the **“Edit Course Profile”** button. The **first field** shows your current **display name/nickname** for the leaderboard.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What should I do if I want a different nickname on the leaderboard instead of the auto-generated one?,"Go to **Edit Course Profile** and change the **first field** — that is your public nickname/display name, which is what appears on the leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Which name ends up on the certificate, and do I need to update anything so it isn’t the random one?","The **official name you enter in the second field of “Edit Course Profile”** is what ends up on the **certificate**.

You should update it if it currently still says the random name like **“Lucid Elbakyan”** — that second field is **mandatory** if you don’t want the random name on your certificate.

The **first field** is your **public nickname/display name** for the leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I take this course at my own pace and still earn the certificate?,"No. You can take the course in self-paced mode, but you won’t earn a certificate that way. To get a certificate, you need to finish the course with a live cohort and complete the required peer reviews.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Is there any way to get a certificate if I don't join the live cohort?,No. You can only get a certificate if you finish the course with a live cohort. The self-paced mode does not offer certificates.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why don't they give certificates for the self-paced version of the course?,"We don't award certificates for the self-paced mode because you need to peer-review 3 capstone projects after submitting your own. That peer-review process only happens while the live course is running, when the review form is open and the peer-review list is compiled.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do I need to do peer reviews to qualify for the course certificate?,"Yes. To qualify for the certificate, you need to be in the live cohort and complete peer reviews of 3 capstones after submitting your project.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Can I still review other students' capstone projects after the course has ended and get certified?,"No. You can only peer-review capstone projects while the course is running, after the submission form closes and the review list is released. Certificates are only awarded if you finish the course with a live cohort, since peer-reviewing 3 capstones is required.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do I still qualify for the certificate if I missed the first homework?,Yes. You can still get the certificate — homework is not mandatory. You only need to pass the Capstone project.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Is homework actually required to get the course certificate, or is the capstone enough?","Homework is not required for the certificate. You only need to pass the Capstone project, and you must finish the course with a live cohort to get the certificate.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If I skip some homework assignments, can I still earn the certificate at the end?","Yes. Missing or skipping homework assignments will not prevent you from earning the certificate.

You only need to pass the Capstone project to get the certificate. Homework is optional, though it can help and it counts toward your leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What do I need to pass in order to receive the certificate for this course?,"You need to pass the **Capstone project** to get the certificate. Homework is **not mandatory**, though it is recommended.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Does missing homework affect my chance to get certified, or is it mainly for practice and leaderboard points?","Missing a homework does **not** affect your chance of getting certified. Homework is **not mandatory**; you only need to **pass the Capstone project** to earn the certificate.

Homework is mainly for **practice/reinforcing concepts**, and the points from homework count toward your **leaderboard rank**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does this homework keep changing before the deadline?,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is only ready when both are true:

- the homework form is open on the course management platform, and
- the homework title does **not** contain `[DRAFT]`.

Until then, the content can still change, so it may keep changing before the deadline.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
"If a homework title has [DRAFT], what does that actually mean?","It means the homework is **not ready yet**. The title will have `[DRAFT]` while the content may still change. The homework is considered ready only when:

- the homework form is open on the course management platform, and
- the title no longer contains `[DRAFT]`.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How can I tell when a homework assignment is really ready to do?,"A homework assignment is really ready only when **both** of these are true:

- The homework form is open on the course management platform.
- The homework title does **not** contain **`[DRAFT]`**.

If it still says `[DRAFT]`, the content may still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Is it safe to start working on homework early if it still says DRAFT?,"No — if the homework title still says `[DRAFT]`, it is not ready yet. The content can still change, so working on it early is at your own risk because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Can the homework content still be updated even after the form is already open?,"Yes. The homework content can still change until the homework is ready — specifically, until:

- the homework form is open, and
- the homework title no longer contains `[DRAFT]`.

So if the form is already open but the title still says `[DRAFT]`, the content may still be updated.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next run of the course scheduled for?,I don't know.,Summer 2027.,bd31146b0e
Do you know when this course will be offered again?,Summer 2027.,Summer 2027.,bd31146b0e
What’s the next time this course is starting?,The course will next be offered in **Summer 2027**.,Summer 2027.,bd31146b0e
"Is there a planned future session for this course, and when is it?",I don't know.,Summer 2027.,bd31146b0e
Can you tell me the next course offering date?,The next course offering is **Summer 2027**.,Summer 2027.,bd31146b0e
Is there a place I should start from to find the course videos and materials?,"Yes — start with the **LLM Zoomcamp GitHub repository** as the main entry point.

- Open the lesson folders in the repo.
- Each lesson page has the relevant **videos linked at the top**.
- The repo is usually the best place to start because it’s easier to keep updated than the YouTube playlist.

Useful starting points:
- [LLM Zoomcamp GitHub repo](https://github.com/DataTalksClub/llm-zoomcamp)
- [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/)
- [General Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/)

If you want, you can also just start whenever you’re ready — the videos and GitHub materials are available.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Where do I click to see the lecture videos for each lesson?,"Click the **lesson folders** in the **LLM Zoomcamp GitHub repository**.  
Each lesson page has the relevant lecture videos linked at the top.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Are the videos somewhere inside the lesson folders, or do I need to search on YouTube?","The videos are linked inside the lesson folders in the GitHub repo. You don’t need to search YouTube first.

Use the **LLM Zoomcamp GitHub repository** as the main entry point, open the **lesson folders**, and you’ll find the relevant videos linked at the top of each lesson page. If in doubt, check the repo first since it’s kept more up to date than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
What’s the best link to use if I want the most up-to-date course content?,I don't know.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Do I need to follow the YouTube playlist, or is the GitHub repo the main source?","Use the **GitHub repo as the main source**. If in doubt, follow the repo first because it’s easier to keep updated than the YouTube playlist. The lesson pages in the repo link to the relevant videos at the top.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
How do I keep track of the LLM Zoomcamp syllabus and what’s due next?,"Use the **LLM Zoomcamp course management platform** to track the syllabus, deadlines, homework, and your progress:

https://courses.datatalks.club/llm-zoomcamp-2026/

That platform shows the current cohort structure and what’s due next.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Is there a central place to see homework, deadlines, and my progress in the course?","Yes — the central place is the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the **syllabus, homework, deadlines, and progress tracking**.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Where should I go if I want to follow the current cohort structure for LLM Zoomcamp?,"Go to the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the **current cohort structure**, along with homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
What platform does LLM Zoomcamp use for course updates and homework tracking?,"LLM Zoomcamp uses the **course management platform** at:

**https://courses.datatalks.club/llm-zoomcamp-2026/**

It’s used for course updates, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there a course page or dashboard for checking deadlines and staying on top of the class?,"Yes — use the **LLM Zoomcamp course management platform** to track the syllabus, homework, deadlines, and progress:

https://courses.datatalks.club/llm-zoomcamp-2026/

","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Do you guys have live sessions or office hours for every module in this course?,"There are no separate live sessions or office hours for every module by default. The module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you get stuck, you can ask in Slack and follow the asking questions guidelines.

If you want extra structured support, there’s also an optional paid community called AI Shipping Labs that includes regular Zoom office hours.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"Are the module lessons all live, or are they mostly pre-recorded materials in the repo?","The module lessons are mostly pre-recorded materials in the course repo, not live by default.

There are no separate live sessions for every module unless they’re announced separately.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"If I get stuck on something, where should I ask for help and how should I do it?","Ask in **Slack**. Include the **code or command output as plain text**, not a screenshot, and follow the course’s **asking questions guidelines**.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"Will there be any announced live sessions during the course, or is there a regular schedule?","Live sessions are announced separately when they happen; there is no regular live-session schedule by default. Module materials are pre-recorded and available in the course repo.

","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
