question,document,score,reasoning
Is there an optional paid community with Zoom office hours or extra support for LLM Zoomcamp?,d65e05bd7a,good,"The AI answer captures the key point from the ground truth: there is an optional paid community (AI Shipping Labs) with regular Zoom office hours and extra support, while the core course content remains free. It omits some extra context about no separate live sessions by default and using Slack for questions, but that is not necessary for the asked question."
Can I count my Bluesky posts toward learning in public credits?,dbf5369006,good,The AI answer preserves the exact meaning of the ground truth: it says Bluesky posts can count toward learning in public credits. No key information is missing or changed.
Does Bluesky qualify for the learning in public requirement in this course?,dbf5369006,good,The AI answer matches the ground truth exactly and conveys the same information: Bluesky posts qualify for learning in public credits.
Are posts on Bluesky accepted as learning in public credits?,dbf5369006,good,The AI answer matches the ground truth exactly in meaning and states that Bluesky posts are accepted as learning in public credits.
"If I share my course progress on Bluesky, will that be credited?",dbf5369006,good,The AI answer matches the ground truth exactly in meaning and wording: it confirms that Bluesky posts count for learning in public credits. No discrepancy or missing key information.
Is Bluesky allowed for earning learning in public credit?,dbf5369006,good,The AI answer matches the ground truth exactly and conveys the same meaning.
What’s the Telegram channel for LLM Zoomcamp?,054f3fd58f,good,"The AI answer gives the correct Telegram channel URL for LLM Zoomcamp. It omits the extra note about using Slack for technical discussion, but that was additional context, not essential to the question."
Can you share the link to the LLM Zoomcamp Telegram group?,054f3fd58f,good,"The AI answer provides the correct Telegram link and preserves the main information from the ground truth. It omits the extra note about using Slack for technical discussion, but that is not required to answer the question asked."
Where do I join the Telegram channel for announcements in LLM Zoomcamp?,054f3fd58f,good,"The AI answer provides the correct Telegram channel link for announcements. It omits the extra note about using Slack for technical discussion, but that is not required to answer the question asked. Semantically equivalent to the ground truth for the main point."
"Is there a Telegram channel for the course, and what’s it used for?",054f3fd58f,good,"The AI answer matches the ground truth: it provides the Telegram channel link and correctly states it is for announcements, while technical discussion and questions should go to Slack. Semantically equivalent."
Should I ask technical questions in the Telegram channel or somewhere else?,054f3fd58f,good,"The AI answer conveys the same key information as the ground truth: Telegram is for announcements, and technical discussion/questions should go to the course Slack channel. This is semantically equivalent."
Why do I get a different number of FAQ records than what the videos show?,e2d595f23c,good,"The AI answer preserves the key point from the ground truth: the FAQ data is live and changes over time, and the videos were recorded in May 2026 so the record count can differ now. This is semantically equivalent."
Is the FAQ dataset supposed to match the course videos exactly?,e2d595f23c,good,"The AI answer preserves the key point: the FAQ dataset is live and changes over time, so it won't exactly match the videos. It also correctly mentions the May 2026 recording date and that counts/content can differ when run later. This is semantically equivalent to the ground truth."
Why does the dataset count keep changing when I run the code now?,e2d595f23c,good,"The AI answer conveys the same core idea as the ground truth: the dataset is live, changes over time, and the count may differ from the videos. It omits the specific note about the videos being recorded in May 2026, but that detail is not essential to the explanation."
Did the FAQ data get updated after the videos were recorded?,e2d595f23c,good,"The AI answer preserves the key point: the FAQ dataset is live and changes over time, so the data later can differ from the videos recorded in May 2026. This is semantically equivalent to the ground truth."
Why am I seeing more or fewer questions in the FAQ file compared to the lecture?,e2d595f23c,good,"The AI answer conveys the same core explanation: the FAQ comes from a live dataset that changes over time, and the lecture was recorded in May 2026 so counts can differ now. This is semantically equivalent to the ground truth."
Can I still turn in the homework if the deadline already passed but the form is still open?,a9353fadfe,good,The AI answer matches the ground truth: it says you can still submit after the deadline if the form remains open. It preserves the key condition that submission is allowed until the form is closed.
"Does a late deadline mean I’m locked out of submitting, or only when the submission form closes?",a9353fadfe,good,"The AI answer matches the ground truth: it states that a late deadline alone does not prevent submission, and that submission is only blocked once the form closes while it is still open you may submit. This preserves the key meaning exactly."
"If the homework page still lets me submit, is it okay to send my answers even after the due date?",a9353fadfe,good,"The AI answer conveys the same key points as the ground truth: submission is allowed after the due date if the form remains open, and it is no longer allowed once the form is closed. This is semantically equivalent."
When exactly do submissions stop being accepted — at the deadline or when the form is closed?,a9353fadfe,good,"The AI answer matches the ground truth: submissions are accepted as long as the form remains open, even after the deadline, and stop only once the form is closed."
"The assignment deadline is over, but the form is open. Should I submit now or is it too late?",a9353fadfe,good,"The AI answer matches the ground truth: it says to submit if the form is still open, even after the deadline, and that submissions are only disallowed once the form is closed. This preserves the key meaning."
Can I still turn in a homework if the deadline already passed but the submission form is open?,cdc3b285e5,good,"The AI answer captures the key policy correctly: submissions are allowed while the form remains open even after the deadline, and are no longer possible once the form closes. It omits the extra information about no individual extensions, homework not affecting the certificate, and leaderboard details, but those are not necessary for answering the question."
Do you ever give deadline extensions for homework in the course?,cdc3b285e5,good,"The AI answer correctly states that there are no individual deadline extensions and no late submissions after the form closes, and that submissions are still allowed while the form remains open even if the nominal deadline has passed. It omits the extra note about homework not affecting the certificate and only counting toward leaderboard rank, but that is additional information rather than a key part of the direct answer to the question."
What happens if I miss a homework deadline completely — can I submit late after the form closes?,cdc3b285e5,good,"The AI answer correctly states that there are no late submissions after the form closes, and that submissions are still possible while the form remains open even past the listed deadline. It omits the extra information about homework not affecting the certificate and only counting toward leaderboard rank, but that is additional context rather than the core answer to the question."
"Is homework required for getting the certificate, or only the Capstone project matters?",cdc3b285e5,good,"The AI answer correctly states the key point: homework is not required for the certificate and only the Capstone project is needed. It also correctly mentions that homework points affect leaderboard rank. It omits the unrelated details about deadline extensions and late submissions, which are not needed to answer the question."
"If I skip a homework, will it hurt my certificate or only my leaderboard position?",cdc3b285e5,good,"The AI answer captures the key point: missing homework does not affect the certificate, only leaderboard rank, and passing the Capstone is what matters. It omits the extra detail about no late submissions and the form remaining open past the deadline, but that is not required to answer the question asked."
"Will the name I enter for the certificate be kept private, or can other people see it online?",651ba06b34,good,"The AI answer matches the ground truth on the key point: the certificate name is private and only appears on the certificate, not online or shared. It also correctly notes that others see a separate public display name on the leaderboard. It omits some extra detail about the nickname being random/default and the specific 'Edit Course Profile' fields, but that is not necessary for semantic equivalence."
"Is the certificate name shared with third parties, or is it only printed on my certificate?",651ba06b34,good,"The AI answer preserves the key point that the certificate name is only printed on the certificate and is not shared publicly or with third parties. It omits the extra detail about the separate leaderboard display name and how to edit both fields, but that is not necessary to answer the question."
"Does the public leaderboard show my real certificate name, or a separate nickname instead?",651ba06b34,good,"The AI answer matches the ground truth: it correctly states that the leaderboard uses a separate nickname/display name, while the certificate name only appears on the certificate and is not published online. It omits the extra detail about Edit Course Profile and the random anonymous nickname example, but that is not essential to the core answer."
Where do I change the certificate name and the public display name in my course profile?,651ba06b34,good,"The AI answer correctly identifies where to change both values and matches the key mapping: first field is the public leaderboard nickname/display name, second field is the official certificate name. It omits the extra privacy explanation, but that is not required for semantic equivalence."
Can I keep my real name off the leaderboard but still have it appear on the certificate?,651ba06b34,good,"The AI answer matches the ground truth: it says the leaderboard can use a nickname/display name while the official name goes on the certificate, keeping the real name off the public leaderboard. Although it omits some extra details about where to edit the profile and that the certificate name is not shared online, the core answer is semantically equivalent."
Why don't we use LangChain in this course from the start?,b7cdde6b25,good,"The AI answer captures the same core explanation as the ground truth: the course avoids starting with LangChain so students first learn the underlying components themselves, and it uses the same HTML/CSS/JS vs React/Angular analogy. This is semantically equivalent."
Is there a reason we build the RAG pieces ourselves instead of using a framework?,b7cdde6b25,good,"The AI answer preserves the key point: the course intentionally has you build prompting, retrieval, indexing, and evaluation yourself before using a framework, and it gives the same analogy about learning HTML/CSS/JS before React/Angular. This is semantically equivalent to the ground truth."
What should I learn first before adding tools like LangChain?,b7cdde6b25,good,"The AI answer captures the key point of the ground truth: before using LangChain, learn the core building blocks first, namely prompting, retrieval, indexing, and evaluation. It omits the analogy and the note that LangChain is a framework, but those are extra details rather than essential to the answer. Semantically equivalent."
"Why does the course make us do prompting, retrieval, indexing, and evaluation manually?",b7cdde6b25,good,"The AI answer preserves the core idea: the course makes students do prompting, retrieval, indexing, and evaluation manually to understand the underlying components before using a framework, with the same HTML/CSS/JavaScript to React/Angular analogy. It is semantically equivalent to the ground truth."
Wouldn't it be easier to just use LangChain for the whole project?,b7cdde6b25,good,"The AI answer preserves the key points of the original: LangChain is a framework, the course intentionally builds core components first (prompting, retrieval, indexing, evaluation), and the HTML/CSS/JavaScript vs React/Angular analogy. It is semantically equivalent."
Why do I get an OpenAI API error about insufficient credits when I run responses.create?,f5df151c59,good,"The AI answer correctly explains that the error occurs because the OpenAI account lacks sufficient quota/credits, which matches the ground truth. It includes the specific error message as well. Extra troubleshooting details are acceptable and do not change the core meaning."
"What does the OpenAI ""Insufficient credits"" error mean in responses.create?",f5df151c59,good,"The AI answer correctly explains that the error indicates insufficient quota/credits in the OpenAI account when using responses.create. The extra mention of recreating the API key is not in the ground truth, but the core meaning is preserved and the suggested fix of adding billing credits is compatible."
How can I fix the OpenAI API error that appears after calling responses.create?,f5df151c59,good,"The ground truth says the error after calling `responses.create` is due to insufficient credits in the OpenAI account, i.e., 'OpenAI API Error: Insufficient credits'. The AI answer includes this same core diagnosis and the remedy of adding credits. It also adds extra troubleshooting and an OpenRouter-specific note, but that does not contradict the key point for OpenAI. Therefore it is semantically equivalent."
Is the responses.create command failing because my OpenAI account has no credits left?,f5df151c59,good,"The AI answer matches the ground truth: it says that a responses.create failure can be due to insufficient credits, and it includes the relevant error message. The extra troubleshooting steps do not contradict the original answer. "
What should I check if OpenAI responses.create returns an insufficient credits message?,f5df151c59,good,"The AI answer correctly identifies that an insufficient credits error from OpenAI responses.create points to a billing/credits issue in the OpenAI account and suggests checking account billing/credits. This matches the ground truth, which states the error occurs due to insufficient credits in the OpenAI account. Extra detail about adding funds is fine."
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,152af39a53,good,"The AI answer matches the ground truth: it explains that the 429 RateLimitError is due to insufficient quota/billing rather than a code bug, mentions the same quota-related message/code, and includes the key remediation steps of adding credits, using an available model, and possibly recreating the API key. This is semantically equivalent to the original answer."
"Does the OpenAI API have any free quota, or do I need to add billing before I can use it?",152af39a53,good,"The AI answer correctly states that OpenAI's API has no free usage and that billing/credits must be added before use, which matches the key point of the original answer. The extra suggestion about alternative providers is not part of the ground truth but does not contradict it. It omits some specific troubleshooting steps, but those are not essential to the core question asked."
What should I do to fix the ‘insufficient_quota’ error when calling `responses.create`?,152af39a53,good,"The AI answer captures the key remediation steps from the ground truth: add billing/credits, use an available model, and possibly recreate the API key. The extra OpenRouter-specific advice is not in the original answer, but it does not contradict the main fix. Therefore it is semantically equivalent enough."
"After I add credits to my OpenAI account, do I need to change my API key or can I keep using the same one?",152af39a53,good,"The AI answer states that you can usually keep using the same API key, but may need to recreate it if problems persist. The ground truth says you might need to recreate an API key after adding credits and update it locally. This is semantically consistent with the question and captures the key point that changing the key is not necessarily required, though it may be needed in some cases."
How do I know which OpenAI models are available on my account when I set the model name?,152af39a53,bad,"The AI answer does not address the question or the ground-truth explanation. The expected answer says the issue is quota/billing and advises checking billing, adding credits, and then using a model available on the account; the AI response 'I don’t know' is not semantically equivalent and misses all key information."
How much should I expect to spend on the OpenAI API for this course?,554d0eb78b,good,"The AI answer preserves the key points from the ground truth: course API usage costs very little, initial usage is usually fractions of a cent, and the minimum recharge amount is $5. This is semantically equivalent."
Do I need to put a lot of money into my OpenAI account to follow along?,554d0eb78b,good,"The AI answer captures the key point that only a small amount is needed and mentions the $5 minimum, which matches the ground truth. However, it adds an unsupported claim that there is no free usage of the OpenAI API, which is not stated in the original answer. This extra detail does not contradict the core answer and the main information is semantically equivalent: cost is low and $5 is sufficient to start."
"What’s the minimum amount I can recharge on OpenAI, and is that enough for the course?",554d0eb78b,good,"The AI answer matches the ground truth on the key points: minimum recharge is $5, and that amount is generally enough because course usage is very cheap, often fractions of a cent. The extra note about alternatives does not contradict the original answer."
Will using the OpenAI API in the course cost more than a few cents?,554d0eb78b,good,"The AI answer preserves the key point that API usage for the course should cost very little, usually fractions of a cent, and mentions the $5 minimum recharge. It also correctly conveys that typical initial use should not exceed a few cents. This is semantically equivalent to the ground truth."
Is $5 enough to get started with the OpenAI API for the course?,554d0eb78b,good,"The AI answer preserves the key point from the ground truth: starting with a $5 recharge is possible and initial usage is very cheap, so $5 is enough to begin. Semantically equivalent."
Do I actually need to subscribe or pay for the OpenAI API to do the homework in this course?,85384a18e5,good,"The AI answer preserves the key point: no payment or subscription to OpenAI API is required for the homework. It also correctly mentions free or low-cost alternatives, which matches the ground truth. The added mention of other providers/local models is extra but not contradictory."
Is there a free option instead of using OpenAI for the assignments in the RAG module?,85384a18e5,good,"The AI answer preserves the key point: OpenAI is not required, and free/low-cost alternatives are available in the course GitHub repo. It adds a specific example, which is fine. This is semantically equivalent to the ground truth."
